customer_id,full_name,gender,age,city,country,signup_date,loyalty_tier
C000123,April Frost,Male,23,Glasgow,United Kingdom,2020-01-20,Gold
C000124,Michelle Harmon,Male,62,Al Ain,UAE,2022-01-19,Gold
C000125,Helen Jones,Male,23,Ajman,UAE,2020-07-03,Silver
C000126,Erin Edwards,Non-binary,55,Marseille,France,2021-02-20,Silver
C000127,Michelle Evans,Non-binary,53,Perth,Australia,2020-10-24,Silver
C000128,Jason Powell,Female,34,Sharjah,UAE,2019-12-18,Silver
C000129,Cameron Fisher,Male,65,Marseille,France,2022-07-23,Platinum
C000130,Megan Orr,Male,65,Munich,Germany,2022-02-13,Silver
C000131,Elizabeth Kelley,Male,36,Mumbai,India,2019-12-08,Silver
C000132,Dustin Jordan,Non-binary,52,Mumbai,India,2019-01-29,Silver
C000133,Mary Marshall,Female,62,Glasgow,United Kingdom,2019-01-28,Gold
C000134,Daniel Kennedy,Male,54,Dubai,UAE,2020-06-02,Silver
C000135,Rebecca Jackson,Male,21,Sharjah,UAE,2020-02-24,Platinum
C000136,Jose Schultz,Male,43,Dubai,UAE,2022-03-08,Silver
C000137,Robert Potter,Male,69,Manchester,United Kingdom,2022-10-15,Platinum
C000138,Courtney Gonzalez,Male,53,Los Angeles,United States,2024-07-03,Silver
C000139,David Alvarez,Female,46,Nice,France,2021-10-07,Silver
C000140,Angel Perry,Non-binary,57,Montreal,Canada,2018-07-07,Gold
C000141,Cheyenne Horton,Non-binary,31,Los Angeles,United States,2020-04-02,Gold
C000142,David Douglas Jr.,Male,53,Munich,Germany,2018-08-22,Silver
C000143,Patricia Rodriguez,Non-binary,56,Calgary,Canada,2021-12-30,Silver
C000144,Christopher Rubio,Non-binary,36,Marseille,France,2023-12-25,Platinum
C000145,Amber Wright,Female,68,Los Angeles,United States,2024-09-24,Gold
C000146,Joyce Solis,Male,52,Toulouse,France,2019-11-30,Gold
C000147,Victoria Larson,Male,21,Delhi,India,2019-05-31,Gold
C000148,Stephanie Salazar,Male,47,Chennai,India,2023-11-10,Silver
C000149,Kathy Rivas,Non-binary,52,Montreal,Canada,2022-03-15,Silver
C000150,Stephanie Manning,Non-binary,38,Leeds,United Kingdom,2023-02-19,Silver
C000151,David Wright,Non-binary,54,Los Angeles,United States,2022-12-30,Platinum
C000152,Pamela Boyd,Male,66,Hyderabad,India,2024-06-07,Silver
C000153,Denise Jones,Male,55,Sharjah,UAE,2021-09-16,Gold
C000154,Devon Flores,Female,40,Dubai,UAE,2021-06-22,Silver
C000155,Brenda Hall,Female,44,Los Angeles,United States,2023-11-26,Silver
C000156,Michelle Brown,Male,47,Ottawa,Canada,2018-10-01,Silver
C000157,Joshua Perry,Female,50,Sydney,Australia,2018-01-04,Gold
C000158,Jason Stein,Male,30,Ajman,UAE,2022-05-30,Silver
C000159,Melissa Gates,Male,31,Ajman,UAE,2020-04-09,Gold
C000160,Jamie Smith,Non-binary,49,Chennai,India,2019-01-13,Silver
C000161,Paul Castaneda,Female,53,Lyon,France,2018-02-12,Gold
C000162,Jennifer Adkins,Male,47,Los Angeles,United States,2018-12-31,Gold
C000163,Lindsey Walker,Non-binary,36,Frankfurt,Germany,2022-05-01,Gold
C000164,Jeffrey Johnson,Female,33,Calgary,Canada,2021-11-20,Gold
C000165,Michael Powell,Non-binary,50,Vancouver,Canada,2024-05-07,Platinum
C000166,John Anderson,Female,39,Chicago,United States,2024-09-13,Gold
C000167,Alyssa Long,Non-binary,37,Birmingham,United Kingdom,2022-12-29,Gold
C000168,Alyssa Day,Female,52,Abu Dhabi,UAE,2022-02-13,Silver
C000169,Joel Williams,Female,30,Calgary,Canada,2023-12-08,Silver
C000170,Daniel Murphy,Female,20,Vancouver,Canada,2020-09-15,Gold
C000171,Jamie Walton,Non-binary,68,Calgary,Canada,2024-12-24,Gold
C000172,Darlene Miller,Male,26,Frankfurt,Germany,2022-04-10,Platinum
C000173,Joshua Cooke,Female,24,Sydney,Australia,2022-06-23,Platinum
C000174,Matthew Harrington,Female,59,Manchester,United Kingdom,2019-04-25,Silver
C000175,Nicole Herring,Non-binary,62,Bangalore,India,2021-05-19,Gold
C000176,Alex Hernandez,Female,38,Adelaide,Australia,2023-05-02,Gold
C000177,Michael Elliott,Male,57,Al Ain,UAE,2018-08-01,Silver
C000178,Michael Wang,Non-binary,23,Delhi,India,2021-09-10,Platinum
C000179,Lawrence Adkins,Male,62,Houston,United States,2020-07-19,Platinum
C000180,Robert Oconnell,Male,36,Birmingham,United Kingdom,2021-01-18,Silver
C000181,Alexander Collins,Non-binary,44,Munich,Germany,2022-10-25,Gold
C000182,Tina Sanders,Male,23,Munich,Germany,2023-03-09,Platinum
C000183,Angela Vaughn,Non-binary,27,Toulouse,France,2019-12-23,Silver
C000184,Ashley Barton,Female,60,Chennai,India,2018-01-30,Platinum
C000185,Lindsay Martinez,Non-binary,52,Sharjah,UAE,2019-05-06,Silver
C000186,Dr. Hannah Patterson,Female,58,Adelaide,Australia,2021-08-11,Gold
C000187,Jonathan Peterson,Male,42,Sharjah,UAE,2022-02-10,Silver
C000188,Samantha Garcia,Female,54,Ottawa,Canada,2020-07-08,Platinum
C000189,Madison Poole,Non-binary,43,Mumbai,India,2020-05-02,Silver
C000190,Jessica Gross,Non-binary,49,Glasgow,United Kingdom,2020-06-08,Gold
C000191,Debra Morton,Female,32,Nice,France,2023-06-01,Silver
C000192,Karen Graham,Non-binary,24,Delhi,India,2023-05-04,Gold
C000193,Debra Christian,Male,55,Chennai,India,2021-02-07,Gold
C000194,Angelica Keith,Female,65,Chicago,United States,2021-07-14,Silver
C000195,John Bishop,Female,51,Cologne,Germany,2022-04-09,Platinum
C000196,Allen Rosales,Female,69,Hamburg,Germany,2020-07-05,Gold
C000197,Daniel Salinas,Female,22,Sydney,Australia,2019-03-14,Gold
C000198,Spencer Haynes,Non-binary,41,Toulouse,France,2018-10-08,Gold
C000199,Adam Vaughan,Non-binary,25,Birmingham,United Kingdom,2021-11-13,Silver
C000200,Nathan Freeman,Female,70,Hyderabad,India,2023-06-07,Platinum
C000201,Melissa Brewer,Female,19,Los Angeles,United States,2023-04-09,Platinum
C000202,Ricky Davis II,Male,59,Adelaide,Australia,2018-07-16,Gold
C000203,Elizabeth Perkins,Non-binary,44,Sharjah,UAE,2018-12-29,Silver
C000204,Joseph Coleman,Female,25,Birmingham,United Kingdom,2018-10-29,Silver
C000205,Erin Warner,Female,41,Frankfurt,Germany,2023-09-15,Platinum
C000206,David Martinez,Non-binary,64,Ottawa,Canada,2019-04-26,Platinum
C000207,Bryan Herrera,Non-binary,44,Houston,United States,2020-05-19,Silver
C000208,Cathy Robinson,Female,46,Melbourne,Australia,2020-01-04,Platinum
C000209,Dr. William Warren,Non-binary,59,Chicago,United States,2021-01-19,Silver
C000210,Brian Lee,Male,70,Delhi,India,2021-11-13,Silver
C000211,Christopher Smith,Male,21,Nice,France,2024-09-10,Silver
C000212,Denise Mccann,Male,22,Cologne,Germany,2024-07-05,Gold
C000213,Melissa Martinez,Female,67,Lyon,France,2019-04-04,Gold
C000214,Katherine Salas,Male,26,Birmingham,United Kingdom,2022-08-06,Silver
C000215,Julie Alexander,Non-binary,19,Berlin,Germany,2019-02-14,Silver
C000216,Anthony Everett,Female,19,Nice,France,2019-06-26,Silver
C000217,Rodney Morales,Non-binary,25,Frankfurt,Germany,2024-05-05,Silver
C000218,Mark Brown,Non-binary,55,Sharjah,UAE,2018-12-05,Silver
C000219,Justin Torres,Male,64,Nice,France,2024-08-30,Platinum
C000220,Bailey Duran DDS,Non-binary,19,Chennai,India,2018-07-08,Platinum
C000221,Courtney Mills,Non-binary,24,Calgary,Canada,2022-03-04,Gold
C000222,Jeremy Dalton,Male,38,Dubai,UAE,2023-03-05,Silver
C000223,Elizabeth Oliver DDS,Non-binary,58,Hamburg,Germany,2022-12-24,Gold
C000224,Theresa Clark,Non-binary,51,Perth,Australia,2020-07-05,Silver
C000225,Matthew Moore,Non-binary,25,Toronto,Canada,2023-07-28,Gold
C000226,Benjamin Smith,Female,32,Toulouse,France,2021-07-09,Silver
C000227,Kirk Carter,Female,64,Ajman,UAE,2018-10-23,Silver
C000228,Michael Warner,Female,27,Brisbane,Australia,2023-11-04,Platinum
C000229,Michael Bradshaw,Male,23,New York,United States,2021-09-03,Silver
C000230,Lori Guerrero,Non-binary,21,Melbourne,Australia,2022-12-28,Platinum
C000231,Jessica Stephens,Female,40,Sydney,Australia,2023-08-30,Platinum
C000232,Susan Serrano,Female,56,Toronto,Canada,2020-08-28,Silver
C000233,Christopher Parker,Non-binary,48,Lyon,France,2019-11-28,Gold
C000234,Laura Roberts,Female,25,Adelaide,Australia,2024-06-27,Silver
C000235,Michael Lyons,Non-binary,67,Toulouse,France,2024-12-17,Gold
C000236,Kathryn Snyder,Non-binary,62,Glasgow,United Kingdom,2020-04-10,Silver
C000237,Andrew Reynolds,Female,40,Bangalore,India,2018-01-19,Silver
C000238,David Davis,Non-binary,43,Cologne,Germany,2018-08-05,Silver
C000239,Sara Johnston,Non-binary,51,London,United Kingdom,2019-10-31,Silver
C000240,Yvonne Chambers,Male,41,Sharjah,UAE,2020-08-26,Gold
C000241,Andrew Avila,Male,28,New York,United States,2024-06-01,Gold
C000242,Matthew Moon,Female,60,Chicago,United States,2021-08-10,Silver
C000243,Kevin Walters,Female,31,Ajman,UAE,2024-06-03,Gold
C000244,Brandon Bailey MD,Male,36,Perth,Australia,2023-10-09,Gold
C000245,Shannon Rivera,Non-binary,37,Al Ain,UAE,2018-05-22,Silver
C000246,Donna Landry,Male,37,London,United Kingdom,2019-10-19,Gold
C000247,Krista Gibson,Female,25,Bangalore,India,2018-01-25,Silver
C000248,Frank Cordova,Male,42,Vancouver,Canada,2022-07-13,Gold
C000249,Jose Travis,Female,65,Sydney,Australia,2018-05-12,Silver
C000250,Kimberly Gutierrez,Female,54,Dubai,UAE,2021-08-26,Gold
C000251,Isaiah Avila,Male,43,Montreal,Canada,2018-03-06,Platinum
C000252,Olivia Harris,Female,62,Cologne,Germany,2021-01-29,Silver
C000253,Tanya Kim,Female,55,Los Angeles,United States,2021-05-29,Gold
C000254,Barbara Dudley,Non-binary,39,Montreal,Canada,2019-11-20,Silver
C000255,Cynthia Moore,Non-binary,58,Berlin,Germany,2018-12-21,Gold
C000256,Kristen Davis,Female,64,Marseille,France,2024-12-19,Gold
C000257,Susan Murray MD,Male,27,Munich,Germany,2020-03-06,Silver
C000258,Kathleen Moran,Male,67,Berlin,Germany,2023-05-05,Silver
C000259,Denise Davenport,Non-binary,58,Al Ain,UAE,2023-04-25,Silver
C000260,Mrs. Kristen Reyes,Female,22,Melbourne,Australia,2021-12-27,Silver
C000261,Katie Suarez,Non-binary,21,Bangalore,India,2020-12-29,Gold
C000262,Desiree Tyler,Female,20,Chennai,India,2018-06-26,Silver
C000263,Timothy Romero,Non-binary,23,Mumbai,India,2023-03-26,Gold
C000264,Diane Evans,Non-binary,53,Calgary,Canada,2024-09-26,Gold
C000265,Yvonne Burns,Non-binary,59,Leeds,United Kingdom,2019-08-08,Silver
C000266,Joshua Reed,Male,21,Al Ain,UAE,2021-10-31,Silver
C000267,Kimberly Gibson,Non-binary,59,Sydney,Australia,2019-06-21,Silver
C000268,Colin Terry,Non-binary,51,Ajman,UAE,2023-03-10,Silver
C000269,Cynthia Rowe,Female,44,Brisbane,Australia,2024-08-03,Silver
C000270,Patrick Thornton,Male,39,Birmingham,United Kingdom,2018-10-21,Gold
C000271,Jasmin Alvarado,Female,64,Montreal,Canada,2023-08-02,Platinum
C000272,Veronica Simpson,Male,55,Hamburg,Germany,2023-08-24,Silver
C000273,Jonathan Lawrence,Non-binary,62,Brisbane,Australia,2023-08-20,Silver
C000274,Shelly Alexander,Non-binary,42,Chicago,United States,2023-06-23,Gold
C000275,Joyce Bowen,Male,59,Cologne,Germany,2023-09-15,Silver
C000276,Matthew Moore,Female,37,Sydney,Australia,2019-07-15,Platinum
C000277,Wayne Morgan,Male,32,Perth,Australia,2019-03-04,Silver
C000278,Marie Christian,Non-binary,67,Mumbai,India,2022-08-05,Gold
C000279,Shannon James,Non-binary,26,Birmingham,United Kingdom,2023-01-30,Silver
C000280,Nathan Malone,Non-binary,67,Munich,Germany,2023-04-26,Gold
C000281,Amanda Jones,Male,44,Frankfurt,Germany,2021-02-05,Gold
C000282,Tammie Bright,Non-binary,36,Toulouse,France,2024-05-26,Gold
C000283,Jessica Garcia,Non-binary,33,Abu Dhabi,UAE,2020-08-19,Platinum
C000284,Shelia Wallace,Female,61,Abu Dhabi,UAE,2022-11-08,Platinum
C000285,Stephanie Williams,Female,50,Sharjah,UAE,2022-06-27,Silver
C000286,Elaine Brooks,Non-binary,26,Munich,Germany,2020-02-16,Silver
C000287,Joseph Knight,Non-binary,24,Sharjah,UAE,2024-01-20,Gold
C000288,Carolyn Miller,Male,66,Chicago,United States,2019-05-14,Silver
C000289,Lisa Allen,Male,32,Frankfurt,Germany,2024-12-12,Silver
C000290,Briana Murray,Female,21,Sydney,Australia,2021-05-16,Gold
C000291,David Smith,Male,41,Toulouse,France,2019-11-29,Silver
C000292,Stephanie Byrd,Male,26,Chicago,United States,2018-04-30,Silver
C000293,Jeremy Reed,Non-binary,48,Abu Dhabi,UAE,2021-10-25,Gold
C000294,Margaret Coleman,Female,31,New York,United States,2019-04-10,Gold
C000295,Ryan Gonzalez,Female,33,Toronto,Canada,2020-07-24,Silver
C000296,John Young,Non-binary,68,Toulouse,France,2023-04-20,Silver
C000297,Laura Haney,Non-binary,52,Houston,United States,2018-02-21,Gold
C000298,William Barrett,Female,45,Lyon,France,2018-01-05,Gold
C000299,Keith Jennings,Female,29,Nice,France,2023-08-27,Gold
C000300,Amber Obrien,Non-binary,52,Sydney,Australia,2022-04-26,Gold
C000301,Tanner Mitchell DDS,Female,20,Leeds,United Kingdom,2023-05-29,Silver
C000302,Heather Fields,Non-binary,19,Brisbane,Australia,2021-01-14,Gold
C000303,Megan Le,Non-binary,60,Melbourne,Australia,2023-05-06,Silver
C000304,Sara Fuller,Male,40,Melbourne,Australia,2022-08-24,Silver
C000305,Maria Parker,Non-binary,48,Frankfurt,Germany,2023-05-17,Silver
C000306,Kevin Oconnor,Non-binary,67,Berlin,Germany,2021-11-22,Silver
C000307,Edward Burgess,Male,20,Paris,France,2020-09-07,Platinum
C000308,Carlos Ryan,Female,34,Ottawa,Canada,2018-04-24,Gold
C000309,Kiara Mcintyre,Female,67,Marseille,France,2018-05-29,Platinum
C000310,Dawn Summers,Male,69,Brisbane,Australia,2021-02-17,Silver
C000311,Dr. Paul Morgan,Female,39,Calgary,Canada,2019-08-04,Silver
C000312,Victor Taylor,Non-binary,35,Sharjah,UAE,2024-10-25,Silver
C000313,Shannon Ramsey,Female,56,Toronto,Canada,2024-12-29,Silver
C000314,Tracy Ballard,Male,23,Bangalore,India,2020-10-15,Gold
C000315,Richard Smith,Non-binary,63,Chennai,India,2021-08-16,Silver
C000316,Jordan Chambers,Female,20,Sharjah,UAE,2024-03-08,Platinum
C000317,Lauren Carson,Female,35,Adelaide,Australia,2023-06-10,Platinum
C000318,Ashley Hall,Non-binary,58,London,United Kingdom,2021-06-16,Silver
C000319,Stephen Hoffman,Male,56,Berlin,Germany,2023-10-08,Gold
C000320,Connie Brown,Male,33,Manchester,United Kingdom,2024-08-15,Gold
C000321,Susan Turner,Non-binary,20,Perth,Australia,2023-02-23,Silver
C000322,Charles Shah,Female,46,Sharjah,UAE,2024-06-28,Silver
C000323,Johnathan Davis,Female,43,Cologne,Germany,2020-09-03,Gold
C000324,Brandy Chavez,Male,65,Paris,France,2019-08-02,Silver
C000325,Natalie Bautista,Male,34,Ottawa,Canada,2024-08-04,Silver
C000326,Patrick Moore,Non-binary,36,Abu Dhabi,UAE,2023-11-27,Platinum
C000327,Brett Burns,Male,26,Abu Dhabi,UAE,2018-08-19,Silver
C000328,Trevor Johnson,Non-binary,38,Dubai,UAE,2023-09-06,Silver
C000329,Jeremy Sampson,Non-binary,36,Phoenix,United States,2020-07-20,Platinum
C000330,Ariana Jennings,Non-binary,32,Hamburg,Germany,2019-01-13,Platinum
C000331,Vanessa Howard,Female,19,Munich,Germany,2021-01-26,Gold
C000332,Colton Martinez,Non-binary,26,Perth,Australia,2023-03-17,Platinum
C000333,Jordan Bates,Female,63,Chicago,United States,2024-02-12,Silver
C000334,Linda Smith,Non-binary,22,Calgary,Canada,2019-01-25,Platinum
C000335,Dana Martinez,Female,61,Houston,United States,2022-05-27,Silver
C000336,Andrea Hubbard,Female,50,Munich,Germany,2018-06-22,Gold
C000337,Daniel Kane,Male,28,Hamburg,Germany,2020-09-29,Platinum
C000338,Charles Lester,Non-binary,36,Marseille,France,2018-09-03,Silver
C000339,Scott Thomas,Non-binary,37,Delhi,India,2023-03-24,Gold
C000340,David Thompson,Non-binary,27,Cologne,Germany,2019-06-16,Gold
C000341,Allison Smith,Male,70,Adelaide,Australia,2018-03-30,Silver
C000342,Cynthia Morris,Non-binary,44,Delhi,India,2023-04-05,Gold
C000343,Anthony Harmon,Female,59,Al Ain,UAE,2020-07-27,Silver
C000344,Nichole Alvarez,Female,22,Montreal,Canada,2023-11-10,Silver
C000345,Kayla Rodriguez,Female,47,Ajman,UAE,2019-09-26,Silver
C000346,Theresa Williams,Non-binary,38,Hamburg,Germany,2024-03-31,Platinum
C000347,Sharon Boyd,Male,66,Perth,Australia,2021-02-25,Gold
C000348,Victor Brown,Male,47,Chicago,United States,2019-01-16,Silver
C000349,James Parks,Male,21,Lyon,France,2020-06-20,Platinum
C000350,Theodore Jones Jr.,Male,70,Vancouver,Canada,2020-10-14,Platinum
C000351,Ana Hill,Male,49,Melbourne,Australia,2022-05-19,Silver
C000352,Kimberly Nguyen,Male,23,Chennai,India,2021-05-06,Gold
C000353,Kerry Chavez DDS,Non-binary,40,Lyon,France,2018-06-01,Silver
C000354,Michael Farrell,Non-binary,61,Al Ain,UAE,2022-01-02,Silver
C000355,Patricia Le,Female,26,London,United Kingdom,2020-04-01,Gold
C000356,Jesse Perez,Male,43,Montreal,Canada,2018-06-08,Gold
C000357,Jesse Perry,Non-binary,36,Marseille,France,2018-08-17,Silver
C000358,Jeffery Ortega,Female,70,Al Ain,UAE,2023-04-21,Gold
C000359,Christian Leblanc,Male,43,Los Angeles,United States,2021-03-05,Gold
C000360,Ronald Davis,Female,66,Adelaide,Australia,2019-03-25,Silver
